"1","Begich","Howe","Blank","Exhausted","Overvote"
"01-600 Ketchikan No. 1","236","114","7","203","1"
"01-610 Ketchikan No. 2","396","122","23","303","2"
"01-620 Ketchikan No. 3","320","73","11","156","1"
"01-640 North Tongass No. 1","270","46","6","91","0"
"01-650 North Tongass No. 2","486","77","12","164","1"
"01-660 Saxman","35","24","2","53","0"
"01-670 South Tongass","374","81","2","171","1"
"01-675 Coffman Cove","67","11","9","23","0"
"01-680 Metlakatla","157","83","11","205","1"
"01-690 Wrangell","401","100","15","159","2"
"02-700 Angoon","22","25","1","65","0"
"02-705 Craig","212","63","24","94","3"
"02-720 Hoonah","102","48","9","104","1"
"02-725 Hydaburg","13","15","3","67","0"
"02-730 Kake","56","35","6","84","0"
"02-735 Kasaan","10","6","1","8","0"
"02-740 Klawock","166","55","14","108","2"
"02-750 Pelican-Elfin Cove","19","5","4","12","0"
"02-755 Petersburg-Kupreanof","438","104","37","263","1"
"02-760 Port Alexander","3","1","0","6","1"
"02-765 Sitka No. 1","425","166","24","349","2"
"02-770 Sitka No. 2","367","191","25","322","0"
"02-775 Tenakee Springs","10","8","1","23","0"
"02-780 Thorne Bay","130","26","9","25","0"
"02-785 Yakutat","74","38","2","110","2"
"03-300 Auke Bay","184","80","4","215","1"
"03-305 Lynn Canal","167","51","8","205","0"
"03-310 Melvin Park","260","111","8","195","2"
"03-315 Mendenhall Glacier","444","172","5","302","1"
"03-320 Thunder Mountain","362","158","13","269","0"
"03-325 Gustavus","64","38","2","85","0"
"03-330 Haines No. 1","280","125","7","236","1"
"03-335 Haines No. 2","52","16","4","37","0"
"03-340 Klukwan","7","17","1","16","0"
"03-345 Skagway","113","108","12","179","0"
"04-100 Douglas","128","103","4","293","1"
"04-105 Juneau Airport Area","158","45","4","92","0"
"04-110 Juneau No. 1","120","93","6","214","0"
"04-115 Juneau No. 2","79","96","1","285","0"
"04-120 Juneau No. 3","80","44","3","130","1"
"04-125 Lemon Creek","225","107","9","229","1"
"04-130 Glacier Valley Area","174","83","3","126","2"
"04-135 North Douglas","119","89","6","231","0"
"05-800 Chiniak","31","6","1","16","0"
"05-810 Flats","335","84","9","133","1"
"05-815 Kodiak Island South","4","1","0","12","0"
"05-820 Kodiak No. 1","333","70","13","231","2"
"05-825 Kodiak No. 2","333","107","14","240","2"
"05-830 Mission Road","791","207","22","387","1"
"05-835 Old Harbor","8","6","1","15","0"
"05-840 Ouzinkie","16","9","1","31","0"
"05-845 Port Lions","42","7","0","18","0"
"05-860 Cordova","215","73","10","186","3"
"05-865 Seward-Lowell Point","216","69","10","185","1"
"05-870 Tatitlek","8","6","0","5","0"
"06-200 Anchor Point","661","125","20","184","1"
"06-210 Diamond Ridge","151","62","8","128","0"
"06-220 Fox River","173","26","9","49","1"
"06-230 Homer No. 1","267","98","9","181","0"
"06-240 Homer No. 2","271","82","8","187","0"
"06-250 Kachemak-Fritz Creek","292","110","9","268","1"
"06-260 Kasilof","723","122","22","220","2"
"06-270 Ninilchik","419","81","13","121","0"
"06-280 Seldovia-Kachemak Bay","67","17","10","65","2"
"07-005 Central","496","108","15","127","1"
"07-010 K Beach","620","118","16","146","1"
"07-015 Kenai No. 1","446","127","19","158","4"
"07-020 Kenai No. 2","296","55","6","91","0"
"07-025 Kenai No. 3","212","41","7","82","0"
"07-030 Soldotna","517","118","24","186","1"
"08-035 Bear Creek","310","84","8","194","1"
"08-040 Cooper Landing","73","16","0","58","0"
"08-045 Funny River No. 1","237","41","2","59","1"
"08-050 Funny River No. 2","203","22","10","39","0"
"08-055 Hope","22","12","2","33","0"
"08-060 Mackey Lake","392","43","14","90","0"
"08-065 Moose Pass","76","18","2","65","0"
"08-070 Nikiski","592","86","17","108","0"
"08-075 Salamatof","546","118","14","89","1"
"08-080 Sterling No. 1","521","70","11","105","0"
"08-085 Sterling No. 2","621","62","19","116","0"
"09-105 Girdwood","216","195","14","404","1"
"09-110 Indian","43","19","4","65","0"
"09-115 South Anchorage No. 1","617","174","7","341","1"
"09-120 South Anchorage No. 2","754","146","9","306","1"
"09-125 South Anchorage No. 3","568","140","8","318","1"
"09-130 South Anchorage No. 4","657","120","13","338","1"
"09-135 South Anchorage No. 5","266","72","2","159","1"
"09-140 Stuckagain Heights","69","20","2","68","0"
"09-145 Whittier","51","10","4","18","0"
"10-150 Dimond","398","150","22","252","2"
"10-155 Oceanview No. 1","557","130","17","340","1"
"10-160 Oceanview No. 2","365","97","25","227","4"
"10-165 Oceanview No. 3","502","161","15","278","5"
"10-170 Oceanview No. 4","443","112","8","269","2"
"10-175 Oceanview No. 5","347","91","12","225","0"
"11-205 Hillside No. 1","316","122","8","180","5"
"11-210 Hillside No. 2","645","197","8","359","2"
"11-215 Hillside No. 3","373","73","17","177","0"
"11-220 Hillside No. 4","417","74","6","187","1"
"11-225 Hillside No. 5","378","75","3","295","0"
