"1","Begich","Peltola","Blank","Exhausted","Overvote"
"01-600 Ketchikan No. 1","223","315","7","15","1"
"01-610 Ketchikan No. 2","382","414","23","25","2"
"01-620 Ketchikan No. 3","310","206","11","33","1"
"01-640 North Tongass No. 1","261","130","6","16","0"
"01-650 North Tongass No. 2","476","233","12","18","1"
"01-660 Saxman","30","75","2","7","0"
"01-670 South Tongass","359","254","2","13","1"
"01-675 Coffman Cove","65","27","9","9","0"
"01-680 Metlakatla","140","288","11","17","1"
"01-690 Wrangell","401","235","15","24","2"
"02-700 Angoon","20","86","1","6","0"
"02-705 Craig","212","140","24","17","3"
"02-720 Hoonah","100","146","9","8","1"
"02-725 Hydaburg","13","79","3","3","0"
"02-730 Kake","49","120","6","6","0"
"02-735 Kasaan","11","11","1","2","0"
"02-740 Klawock","164","150","14","15","2"
"02-750 Pelican-Elfin Cove","16","20","4","0","0"
"02-755 Petersburg-Kupreanof","422","354","37","29","1"
"02-760 Port Alexander","3","7","0","0","1"
"02-765 Sitka No. 1","403","509","24","29","1"
"02-770 Sitka No. 2","325","524","25","30","1"
"02-775 Tenakee Springs","11","28","1","2","0"
"02-780 Thorne Bay","127","36","9","18","0"
"02-785 Yakutat","75","132","2","15","2"
"03-300 Auke Bay","175","299","4","6","0"
"03-305 Lynn Canal","161","259","8","3","0"
"03-310 Melvin Park","244","314","8","8","2"
"03-315 Mendenhall Glacier","419","478","5","21","1"
"03-320 Thunder Mountain","336","436","13","17","0"
"03-325 Gustavus","68","113","2","6","0"
"03-330 Haines No. 1","272","343","7","26","1"
"03-335 Haines No. 2","49","54","4","2","0"
"03-340 Klukwan","7","31","1","1","1"
"03-345 Skagway","108","283","12","9","0"
"04-100 Douglas","107","409","4","8","1"
"04-105 Juneau Airport Area","139","145","4","11","0"
"04-110 Juneau No. 1","111","308","6","7","1"
"04-115 Juneau No. 2","69","388","1","3","0"
"04-120 Juneau No. 3","67","184","3","3","1"
"04-125 Lemon Creek","205","345","9","11","1"
"04-130 Glacier Valley Area","157","222","3","4","2"
"04-135 North Douglas","101","335","6","3","0"
"05-800 Chiniak","30","21","1","2","0"
"05-810 Flats","329","201","9","22","1"
"05-815 Kodiak Island South","3","13","0","1","0"
"05-820 Kodiak No. 1","319","300","13","15","2"
"05-825 Kodiak No. 2","320","333","14","27","2"
"05-830 Mission Road","761","590","22","34","1"
"05-835 Old Harbor","7","20","1","2","0"
"05-840 Ouzinkie","14","40","1","2","0"
"05-845 Port Lions","43","21","0","3","0"
"05-860 Cordova","204","263","10","7","3"
"05-865 Seward-Lowell Point","203","250","10","17","1"
"05-870 Tatitlek","6","12","0","1","0"
"06-200 Anchor Point","665","259","20","46","1"
"06-210 Diamond Ridge","151","184","8","6","0"
"06-220 Fox River","167","79","9","3","0"
"06-230 Homer No. 1","240","284","9","22","0"
"06-240 Homer No. 2","265","259","8","16","0"
"06-250 Kachemak-Fritz Creek","280","376","9","15","0"
"06-260 Kasilof","721","292","22","52","2"
"06-270 Ninilchik","416","178","13","27","0"
"06-280 Seldovia-Kachemak Bay","63","83","10","4","1"
"07-005 Central","498","201","15","32","1"
"07-010 K Beach","616","245","16","23","1"
"07-015 Kenai No. 1","445","249","19","37","4"
"07-020 Kenai No. 2","295","132","6","15","0"
"07-025 Kenai No. 3","204","122","7","9","0"
"07-030 Soldotna","514","264","24","43","1"
"08-035 Bear Creek","301","269","8","19","0"
"08-040 Cooper Landing","70","75","0","2","0"
"08-045 Funny River No. 1","232","86","2","20","0"
"08-050 Funny River No. 2","201","59","10","4","0"
"08-055 Hope","20","46","2","1","0"
"08-060 Mackey Lake","376","139","14","10","0"
"08-065 Moose Pass","76","78","2","5","0"
"08-070 Nikiski","608","158","17","20","0"
"08-075 Salamatof","558","156","14","39","1"
"08-080 Sterling No. 1","519","158","11","19","0"
"08-085 Sterling No. 2","612","162","19","25","0"
"09-105 Girdwood","180","626","14","9","1"
"09-110 Indian","43","79","4","5","0"
"09-115 South Anchorage No. 1","587","529","7","17","0"
"09-120 South Anchorage No. 2","693","494","9","19","1"
"09-125 South Anchorage No. 3","537","470","8","19","1"
"09-130 South Anchorage No. 4","589","517","13","10","0"
"09-135 South Anchorage No. 5","252","243","2","3","0"
"09-140 Stuckagain Heights","62","95","2","0","0"
"09-145 Whittier","43","36","4","0","0"
"10-150 Dimond","368","408","22","25","1"
"10-155 Oceanview No. 1","511","503","17","13","1"
"10-160 Oceanview No. 2","337","340","25","13","3"
"10-165 Oceanview No. 3","464","455","15","23","4"
"10-170 Oceanview No. 4","414","405","8","5","2"
"10-175 Oceanview No. 5","328","315","12","20","0"
"11-205 Hillside No. 1","298","305","8","17","3"
"11-210 Hillside No. 2","607","579","8","15","2"
"11-215 Hillside No. 3","345","275","17","3","0"
"11-220 Hillside No. 4","391","282","6","5","1"
"11-225 Hillside No. 5","368","363","3","17","0"
"11-230 Hillside No. 6","391","378","5","6","1"
"11-235 Hillside No. 7","309","333","3","3","0"
"12-250 Southeast Anchorage No. 1","424","417","13","23","3"
"12-255 Southeast Anchorage No. 2","263","213","2","10","0"
"12-260 Southeast Anchorage No. 3","388","389","7","15","0"
"12-265 Southeast Anchorage No. 4","379","399","12","19","0"
"12-270 Southeast Anchorage No. 5","468","476","9","12","3"
"12-275 Southeast Anchorage No. 6","337","453","4","6","2"
"13-305 South Midtown No. 1","123","98","0","2","0"
"13-310 South Midtown No. 2","511","539","16","22","0"
"13-315 South Midtown No. 3","470","473","13","24","0"
"13-320 South Midtown No. 4","429","483","23","18","1"
"13-325 South Midtown No. 5","371","585","12","20","1"
"14-350 North Midtown No. 1","95","186","3","6","0"
"14-355 North Midtown No. 2","135","236","7","11","0"
"14-360 North Midtown No. 3","147","163","5","6","0"
"14-365 North Midtown No. 4","168","262","9","13","0"
"14-370 North Midtown No. 5","275","431","13","27","1"
"14-375 North Midtown No. 6","208","272","11","6","1"
"14-380 North Midtown No. 7","279","575","7","7","0"
"15-405 Southwest Anchorage No. 1","337","313","7","10","0"
"15-410 Southwest Anchorage No. 2","390","382","6","15","1"
"15-415 Southwest Anchorage No. 3","446","474","9","14","0"
"15-420 Southwest Anchorage No. 4","374","424","14","13","5"
"15-425 Southwest Anchorage No. 5","358","416","8","11","1"
"15-430 Southwest Anchorage No. 6","622","531","15","12","2"
"16-450 West Anchorage No. 1","163","487","7","3","0"
"16-455 West Anchorage No. 2","285","502","3","8","1"
"16-460 West Anchorage No. 3","393","636","13","11","1"
"16-465 West Anchorage No. 4","234","289","7","6","0"
"16-470 West Anchorage No. 5","427","470","5","8","0"
"16-475 West Anchorage No. 6","352","399","7","12","0"
"16-480 West Anchorage No. 7","265","331","12","10","2"
"17-505 Downtown Anchorage No. 1","122","215","5","5","0"
"17-510 Downtown Anchorage No. 2","131","354","2","6","1"
"17-515 Downtown Anchorage No. 3","108","237","1","1","0"
"17-520 Downtown Anchorage No. 4","211","412","3","6","4"
"17-525 Downtown Anchorage No. 5","127","280","12","12","2"
"17-530 Downtown Anchorage No. 6","96","200","8","9","3"
"17-535 Downtown Anchorage No. 7","156","268","11","12","0"
"18-550 Government Hill","142","250","11","13","3"
"18-555 JBER No.1","524","245","25","38","0"
"18-556 JBER No.2","134","84","11","9","0"
"18-560 North Muldoon","144","188","6","12","1"
"18-565 Ship Creek","25","52","4","5","0"
"19-605 Airport Heights No. 1","211","490","9","14","0"
"19-610 Airport Heights No. 2","291","383","14","32","3"
"19-615 Mountainview No. 1","141","242","8","10","1"
"19-620 Mountainview No. 2","145","212","8","12","3"
"19-625 South Mountainview","194","239","14","14","1"
"20-650 University No. 1","107","148","10","3","2"
"20-655 University No. 2","364","504","16","35","1"
"20-660 University No. 3","332","553","10","20","4"
"20-665 University No. 4","166","243","9","9","0"
"20-670 University No. 5","531","738","18","17","8"
"21-705 East Anchorage No. 1","289","384","9","9","3"
"21-710 East Anchorage No. 2","390","394","3","16","1"
"21-715 East Anchorage No. 3","517","562","16","21","1"
"21-720 East Anchorage No. 4","368","455","11","22","2"
"21-725 East Anchorage No. 5","533","658","8","17","1"
"22-750 Northeast Anchorage No. 1","340","445","14","25","2"
"22-755 Northeast Anchorage No. 2","349","377","13","21","6"
"22-760 Northeast Anchorage No. 3","368","484","14","24","3"
"22-765 Northeast Anchorage No. 4","254","285","11","18","6"
"23-805 Chugach Park No. 1","568","470","16","12","0"
"23-810 Eagle River No. 1","341","268","5","17","1"
"23-815 Eagle River No. 2","359","300","6","15","1"
"23-820 Hiland","372","244","9","13","0"
"23-825 Meadow Creek No. 1","385","323","5","10","0"
"23-830 Meadow Creek No. 2","244","164","7","8","0"
"24-850 Chugach Park No. 2","425","241","6","5","2"
