"1","Hafner","Howe","Blank","Exhausted","Overvote"
"01-600 Ketchikan No. 1","90","112","7","350","2"
"01-610 Ketchikan No. 2","121","127","23","574","1"
"01-620 Ketchikan No. 3","40","83","11","426","1"
"01-640 North Tongass No. 1","40","58","6","309","0"
"01-650 North Tongass No. 2","72","116","12","539","1"
"01-660 Saxman","15","25","2","72","0"
"01-670 South Tongass","73","114","2","439","1"
"01-675 Coffman Cove","4","15","9","82","0"
"01-680 Metlakatla","51","84","11","310","1"
"01-690 Wrangell","66","141","15","453","2"
"02-700 Angoon","15","17","1","80","0"
"02-705 Craig","40","65","24","265","2"
"02-720 Hoonah","30","43","9","181","1"
"02-725 Hydaburg","11","13","3","71","0"
"02-730 Kake","29","30","6","116","0"
"02-735 Kasaan","1","5","1","18","0"
"02-740 Klawock","40","63","14","226","2"
"02-750 Pelican-Elfin Cove","4","5","4","27","0"
"02-755 Petersburg-Kupreanof","89","168","37","548","1"
"02-760 Port Alexander","2","0","0","8","1"
"02-765 Sitka No. 1","133","181","24","624","4"
"02-770 Sitka No. 2","168","180","25","532","0"
"02-775 Tenakee Springs","3","7","1","31","0"
"02-780 Thorne Bay","7","37","9","137","0"
"02-785 Yakutat","21","36","2","164","3"
"03-300 Auke Bay","70","87","4","322","1"
"03-305 Lynn Canal","56","59","8","308","0"
"03-310 Melvin Park","83","134","8","349","2"
"03-315 Mendenhall Glacier","123","203","5","592","1"
"03-320 Thunder Mountain","126","166","13","497","0"
"03-325 Gustavus","31","42","2","114","0"
"03-330 Haines No. 1","102","141","7","398","1"
"03-335 Haines No. 2","14","17","4","74","0"
"03-340 Klukwan","5","13","1","22","0"
"03-345 Skagway","97","93","12","210","0"
"04-100 Douglas","125","72","4","327","1"
"04-105 Juneau Airport Area","50","61","4","184","0"
"04-110 Juneau No. 1","100","72","6","255","0"
"04-115 Juneau No. 2","133","50","1","277","0"
"04-120 Juneau No. 3","58","36","3","160","1"
"04-125 Lemon Creek","105","111","9","345","1"
"04-130 Glacier Valley Area","78","88","3","216","3"
"04-135 North Douglas","124","55","6","260","0"
"05-800 Chiniak","4","8","1","41","0"
"05-810 Flats","49","136","9","367","1"
"05-815 Kodiak Island South","0","3","0","14","0"
"05-820 Kodiak No. 1","73","102","13","459","2"
"05-825 Kodiak No. 2","71","117","14","492","2"
"05-830 Mission Road","173","293","22","919","1"
"05-835 Old Harbor","4","3","1","22","0"
"05-840 Ouzinkie","10","7","1","39","0"
"05-845 Port Lions","3","9","0","55","0"
"05-860 Cordova","79","84","10","311","3"
"05-865 Seward-Lowell Point","73","84","10","313","1"
"05-870 Tatitlek","9","4","0","6","0"
"06-200 Anchor Point","74","194","20","700","3"
"06-210 Diamond Ridge","55","52","8","234","0"
"06-220 Fox River","24","26","9","198","1"
"06-230 Homer No. 1","96","105","9","345","0"
"06-240 Homer No. 2","83","80","8","377","0"
"06-250 Kachemak-Fritz Creek","114","117","9","439","1"
"06-260 Kasilof","76","179","22","810","2"
"06-270 Ninilchik","55","117","13","449","0"
"06-280 Seldovia-Kachemak Bay","18","22","10","109","2"
"07-005 Central","63","178","15","489","2"
"07-010 K Beach","69","196","16","619","1"
"07-015 Kenai No. 1","82","178","19","469","6"
"07-020 Kenai No. 2","41","99","6","302","0"
"07-025 Kenai No. 3","30","67","7","238","0"
"07-030 Soldotna","77","179","24","565","1"
"08-035 Bear Creek","87","111","8","390","1"
"08-040 Cooper Landing","26","15","0","106","0"
"08-045 Funny River No. 1","29","60","2","249","0"
"08-050 Funny River No. 2","13","58","10","193","0"
"08-055 Hope","10","8","2","49","0"
"08-060 Mackey Lake","59","89","14","377","0"
"08-065 Moose Pass","17","26","2","116","0"
"08-070 Nikiski","50","166","17","570","0"
"08-075 Salamatof","75","153","14","524","2"
"08-080 Sterling No. 1","59","134","11","502","1"
"08-085 Sterling No. 2","54","134","19","611","0"
"09-105 Girdwood","225","131","14","459","1"
"09-110 Indian","17","13","4","97","0"
"09-115 South Anchorage No. 1","174","198","7","760","1"
"09-120 South Anchorage No. 2","175","177","9","853","2"
"09-125 South Anchorage No. 3","144","174","8","708","1"
"09-130 South Anchorage No. 4","156","133","13","827","0"
"09-135 South Anchorage No. 5","70","72","2","356","0"
"09-140 Stuckagain Heights","24","20","2","113","0"
"09-145 Whittier","12","9","4","58","0"
"10-150 Dimond","147","168","22","485","2"
"10-155 Oceanview No. 1","158","146","17","723","1"
"10-160 Oceanview No. 2","93","106","25","491","3"
"10-165 Oceanview No. 3","161","165","15","614","6"
"10-170 Oceanview No. 4","126","123","8","575","2"
"10-175 Oceanview No. 5","96","123","12","444","0"
"11-205 Hillside No. 1","107","131","8","381","4"
"11-210 Hillside No. 2","175","234","8","791","3"
"11-215 Hillside No. 3","72","97","17","454","0"
"11-220 Hillside No. 4","88","102","6","488","1"
"11-225 Hillside No. 5","70","76","3","602","0"
"11-230 Hillside No. 6","115","117","5","543","1"
"11-235 Hillside No. 7","95","99","3","451","0"
"12-250 Southeast Anchorage No. 1","181","162","13","521","3"
"12-255 Southeast Anchorage No. 2","92","82","2","312","0"
"12-260 Southeast Anchorage No. 3","150","142","7","499","1"
"12-265 Southeast Anchorage No. 4","149","125","12","523","0"
"12-270 Southeast Anchorage No. 5","178","169","9","608","4"
"12-275 Southeast Anchorage No. 6","141","101","4","553","3"
"13-305 South Midtown No. 1","44","47","0","132","0"
"13-310 South Midtown No. 2","182","163","16","727","0"
"13-315 South Midtown No. 3","189","186","13","592","0"
"13-320 South Midtown No. 4","177","175","23","577","2"
"13-325 South Midtown No. 5","230","176","12","568","3"
"14-350 North Midtown No. 1","70","56","3","161","0"
"14-355 North Midtown No. 2","75","72","7","235","0"
"14-360 North Midtown No. 3","63","57","5","196","0"
"14-365 North Midtown No. 4","100","79","9","264","0"
"14-370 North Midtown No. 5","160","142","13","431","1"
"14-375 North Midtown No. 6","89","81","11","313","4"
"14-380 North Midtown No. 7","159","111","7","591","0"
"15-405 Southwest Anchorage No. 1","76","114","7","470","0"
"15-410 Southwest Anchorage No. 2","129","146","6","512","1"
"15-415 Southwest Anchorage No. 3","149","162","9","623","0"
"15-420 Southwest Anchorage No. 4","130","160","14","521","5"
"15-425 Southwest Anchorage No. 5","104","153","8","528","1"
"15-430 Southwest Anchorage No. 6","157","205","15","801","4"
"16-450 West Anchorage No. 1","137","63","7","453","0"
"16-455 West Anchorage No. 2","198","123","3","472","3"
"16-460 West Anchorage No. 3","224","142","13","673","2"
"16-465 West Anchorage No. 4","111","84","7","334","0"
"16-470 West Anchorage No. 5","160","140","5","604","1"
"16-475 West Anchorage No. 6","132","102","7","529","0"
"16-480 West Anchorage No. 7","119","124","12","363","2"
"17-505 Downtown Anchorage No. 1","65","41","5","236","0"
"17-510 Downtown Anchorage No. 2","93","63","2","335","1"
"17-515 Downtown Anchorage No. 3","76","35","1","235","0"
"17-520 Downtown Anchorage No. 4","159","99","3","371","4"
"17-525 Downtown Anchorage No. 5","104","75","12","240","2"
"17-530 Downtown Anchorage No. 6","72","62","8","171","3"
"17-535 Downtown Anchorage No. 7","90","86","11","260","0"
"18-550 Government Hill","77","66","11","262","3"
"18-555 JBER No.1","97","186","25","524","0"
"18-556 JBER No.2","40","63","11","124","0"
"18-560 North Muldoon","50","52","6","242","1"
"18-565 Ship Creek","24","14","4","44","0"
"19-605 Airport Heights No. 1","164","113","9","438","0"
"19-610 Airport Heights No. 2","85","103","14","516","5"
"19-615 Mountainview No. 1","75","99","8","218","2"
"19-620 Mountainview No. 2","54","83","8","232","3"
"19-625 South Mountainview","55","80","14","312","1"
"20-650 University No. 1","77","54","10","125","4"
"20-655 University No. 2","189","150","16","563","2"
"20-660 University No. 3","221","128","10","556","4"
"20-665 University No. 4","100","72","9","246","0"
"20-670 University No. 5","289","199","18","798","8"
"21-705 East Anchorage No. 1","113","98","9","471","3"
"21-710 East Anchorage No. 2","141","147","3","510","3"
"21-715 East Anchorage No. 3","202","192","16","704","3"
"21-720 East Anchorage No. 4","145","144","11","556","2"
"21-725 East Anchorage No. 5","226","209","8","772","2"
"22-750 Northeast Anchorage No. 1","164","178","14","466","4"
"22-755 Northeast Anchorage No. 2","160","156","13","430","7"
"22-760 Northeast Anchorage No. 3","171","147","14","558","3"
"22-765 Northeast Anchorage No. 4","108","123","11","327","5"
"23-805 Chugach Park No. 1","123","242","16","685","0"
"23-810 Eagle River No. 1","82","137","5","407","1"
"23-815 Eagle River No. 2","97","167","6","411","0"
"23-820 Hiland","72","142","9","415","0"
"23-825 Meadow Creek No. 1","113","155","5","449","1"
"23-830 Meadow Creek No. 2","39","90","7","287","0"
"24-850 Chugach Park No. 2","75","91","6","505","2"
"24-855 Chugiak","39","79","4","246","0"
"24-860 Eagle River No. 3","84","121","6","402","1"
"24-865 Eklutna","93","119","9","421","0"
"24-870 Fire Lake","84","148","7","484","2"
"24-875 Peters Creek No. 1","105","181","12","683","2"
"24-880 Peters Creek No. 2","63","106","5","352","0"
"25-305 Butte","122","250","24","810","2"
"25-310 Greater Palmer","69","117","8","348","0"
"25-315 Lazy Mountain","81","154","5","547","1"
"25-320 Palmer City No. 1","76","101","13","361","0"
"25-325 Palmer City No. 2","97","132","10","321","2"
"25-330 Springer Loop","75","158","13","503","2"
"25-335 Walby","67","147","15","440","1"
"26-350 Fairview No. 1","33","116","11","337","1"
"26-355 Fairview No. 2","42","85","10","255","2"
"26-360 Knik Goose Bay No. 1","95","256","33","792","0"
"26-365 Knik Goose Bay No. 2","62","174","16","531","0"
"26-370 Knik Goose Bay No. 3","41","119","19","331","0"
"26-375 Mat-Su Campus","53","133","10","435","2"
"26-380 Snowshoe","91","211","20","665","0"
"27-405 Foothills","58","156","10","492","0"
"27-410 Meadow Lakes No. 1","85","240","11","730","1"
"27-415 Meadow Lakes No. 2","52","198","19","620","7"
