"1","Hafner","Howe","Blank","Exhausted","Overvote"
"House District 1","1051","1337","184","5976","13"
"House District 10","1430","1287","145","5912","22"
"House District 11","1428","1459","85","6887","13"
"House District 12","1646","1235","95","5528","18"
"House District 13","1519","1210","104","4713","12"
"House District 14","1529","1100","136","4644","19"
"House District 15","1475","1438","97","6293","15"
"House District 16","2010","1272","102","6296","15"
"House District 17","1683","987","150","4860","27"
"House District 18","695","729","156","2569","8"
"House District 19","917","845","102","3096","24"
"House District 2","1399","1533","303","6282","31"
"House District 20","1615","1061","117","4425","27"
"House District 21","1729","1339","112","5834","30"
"House District 22","1087","982","100","3251","30"
"House District 23","1376","1954","148","7131","5"
"House District 24","1264","1667","135","7021","13"
"House District 25","1258","1840","189","7115","16"
"House District 26","836","1825","217","6516","6"
"House District 27","741","1816","161","6069","18"
"House District 28","1010","1725","141","6367","13"
"House District 29","1044","1937","180","7305","8"
"House District 3","1793","1788","153","7312","18"
"House District 30","1065","1955","237","7026","23"
"House District 31","1116","1359","109","4314","31"
"House District 32","853","1071","109","3203","9"
"House District 33","920","2002","146","5701","12"
"House District 34","1328","1974","202","6184","16"
"House District 35","1840","1763","116","5980","12"
"House District 36","1305","1752","174","6354","29"
"House District 37","633","728","109","2859","43"
"House District 38","737","981","52","2021","40"
"House District 39","681","1155","80","2300","42"
"House District 4","2111","1133","108","5868","20"
"House District 40","657","698","77","1855","23"
"House District 5","1080","1409","156","5272","23"
"House District 6","1634","1652","261","8391","14"
"House District 7","921","1791","215","6634","25"
"House District 8","1082","1710","185","7789","12"
"House District 9","1896","1605","125","8244","12"
"House District 99","149","32","15","201","1"
"Total","50543","57136","5788","221598","788"
