"1","Hafner","Peltola","Blank","Exhausted","Overvote"
"01-600 Ketchikan No. 1","37","323","7","193","1"
"01-610 Ketchikan No. 2","35","435","23","352","1"
"01-620 Ketchikan No. 3","16","221","11","312","1"
"01-640 North Tongass No. 1","22","138","6","247","0"
"01-650 North Tongass No. 2","37","256","12","434","1"
"01-660 Saxman","7","76","2","28","1"
"01-670 South Tongass","30","276","2","320","1"
"01-675 Coffman Cove","3","27","9","71","0"
"01-680 Metlakatla","29","296","11","120","1"
"01-690 Wrangell","36","256","15","367","3"
"02-700 Angoon","4","84","1","24","0"
"02-705 Craig","23","145","24","201","3"
"02-720 Hoonah","12","149","9","92","2"
"02-725 Hydaburg","5","80","3","10","0"
"02-730 Kake","17","119","6","39","0"
"02-735 Kasaan","1","10","1","13","0"
"02-740 Klawock","23","155","14","151","2"
"02-750 Pelican-Elfin Cove","0","21","4","15","0"
"02-755 Petersburg-Kupreanof","41","387","37","377","1"
"02-760 Port Alexander","1","6","0","3","1"
"02-765 Sitka No. 1","45","542","24","352","3"
"02-770 Sitka No. 2","47","544","25","289","0"
"02-775 Tenakee Springs","2","29","1","10","0"
"02-780 Thorne Bay","5","38","9","138","0"
"02-785 Yakutat","10","133","2","78","3"
"03-300 Auke Bay","15","313","4","152","0"
"03-305 Lynn Canal","8","268","8","147","0"
"03-310 Melvin Park","27","338","8","201","2"
"03-315 Mendenhall Glacier","38","503","5","377","1"
"03-320 Thunder Mountain","38","454","13","297","0"
"03-325 Gustavus","7","124","2","56","0"
"03-330 Haines No. 1","20","372","7","249","1"
"03-335 Haines No. 2","1","57","4","47","0"
"03-340 Klukwan","2","31","1","6","1"
"03-345 Skagway","20","289","12","91","0"
"04-100 Douglas","11","424","4","89","1"
"04-105 Juneau Airport Area","19","153","4","123","0"
"04-110 Juneau No. 1","19","319","6","89","0"
"04-115 Juneau No. 2","11","391","1","58","0"
"04-120 Juneau No. 3","3","193","3","58","1"
"04-125 Lemon Creek","40","366","9","155","1"
"04-130 Glacier Valley Area","23","232","3","127","3"
"04-135 North Douglas","12","344","6","83","0"
"05-800 Chiniak","3","21","1","29","0"
"05-810 Flats","21","227","9","304","1"
"05-815 Kodiak Island South","1","13","0","3","0"
"05-820 Kodiak No. 1","42","327","13","265","2"
"05-825 Kodiak No. 2","35","357","14","288","2"
"05-830 Mission Road","82","644","22","659","1"
"05-835 Old Harbor","0","20","1","9","0"
"05-840 Ouzinkie","5","41","1","10","0"
"05-845 Port Lions","1","23","0","43","0"
"05-860 Cordova","21","276","10","177","3"
"05-865 Seward-Lowell Point","29","261","10","180","1"
"05-870 Tatitlek","3","14","0","2","0"
"06-200 Anchor Point","58","289","20","622","2"
"06-210 Diamond Ridge","10","187","8","144","0"
"06-220 Fox River","5","79","9","165","0"
"06-230 Homer No. 1","21","298","9","227","0"
"06-240 Homer No. 2","17","260","8","263","0"
"06-250 Kachemak-Fritz Creek","24","387","9","260","0"
"06-260 Kasilof","54","318","22","693","2"
"06-270 Ninilchik","28","185","13","408","0"
"06-280 Seldovia-Kachemak Bay","7","84","10","59","1"
"07-005 Central","48","224","15","458","2"
"07-010 K Beach","58","272","16","554","1"
"07-015 Kenai No. 1","50","283","19","396","6"
"07-020 Kenai No. 2","30","150","6","262","0"
"07-025 Kenai No. 3","16","132","7","187","0"
"07-030 Soldotna","60","289","24","472","1"
"08-035 Bear Creek","42","280","8","267","0"
"08-040 Cooper Landing","7","75","0","65","0"
"08-045 Funny River No. 1","15","93","2","230","0"
"08-050 Funny River No. 2","13","65","10","186","0"
"08-055 Hope","2","46","2","19","0"
"08-060 Mackey Lake","42","150","14","333","0"
"08-065 Moose Pass","2","80","2","77","0"
"08-070 Nikiski","54","179","17","553","0"
"08-075 Salamatof","53","176","14","523","2"
"08-080 Sterling No. 1","42","176","11","478","0"
"08-085 Sterling No. 2","37","182","19","579","1"
"09-105 Girdwood","26","635","14","154","1"
"09-110 Indian","2","80","4","45","0"
"09-115 South Anchorage No. 1","59","573","7","501","0"
"09-120 South Anchorage No. 2","67","513","9","625","2"
"09-125 South Anchorage No. 3","43","486","8","497","1"
"09-130 South Anchorage No. 4","55","544","13","517","0"
"09-135 South Anchorage No. 5","19","258","2","221","0"
"09-140 Stuckagain Heights","10","97","2","50","0"
"09-145 Whittier","5","36","4","38","0"
"10-150 Dimond","77","420","22","304","1"
"10-155 Oceanview No. 1","47","550","17","430","1"
"10-160 Oceanview No. 2","28","359","25","303","3"
"10-165 Oceanview No. 3","64","478","15","399","5"
"10-170 Oceanview No. 4","32","441","8","350","3"
"10-175 Oceanview No. 5","35","333","12","295","0"
"11-205 Hillside No. 1","42","325","8","253","3"
"11-210 Hillside No. 2","53","628","8","519","3"
"11-215 Hillside No. 3","22","290","17","311","0"
"11-220 Hillside No. 4","33","295","6","350","1"
"11-225 Hillside No. 5","14","376","3","358","0"
"11-230 Hillside No. 6","39","395","5","341","1"
"11-235 Hillside No. 7","25","356","3","264","0"
"12-250 Southeast Anchorage No. 1","74","442","13","348","3"
"12-255 Southeast Anchorage No. 2","34","235","2","217","0"
"12-260 Southeast Anchorage No. 3","53","420","7","319","0"
"12-265 Southeast Anchorage No. 4","29","425","12","343","0"
"12-270 Southeast Anchorage No. 5","54","512","9","390","3"
"12-275 Southeast Anchorage No. 6","29","485","4","281","3"
"13-305 South Midtown No. 1","21","102","0","100","0"
"13-310 South Midtown No. 2","60","570","16","442","0"
"13-315 South Midtown No. 3","75","500","13","392","0"
"13-320 South Midtown No. 4","71","499","23","359","2"
"13-325 South Midtown No. 5","73","617","12","286","1"
"14-350 North Midtown No. 1","9","194","3","84","0"
"14-355 North Midtown No. 2","26","240","7","116","0"
"14-360 North Midtown No. 3","27","173","5","116","0"
"14-365 North Midtown No. 4","28","267","9","148","0"
"14-370 North Midtown No. 5","48","444","13","241","1"
"14-375 North Midtown No. 6","29","285","11","172","1"
"14-380 North Midtown No. 7","32","586","7","243","0"
"15-405 Southwest Anchorage No. 1","31","339","7","290","0"
"15-410 Southwest Anchorage No. 2","39","416","6","332","1"
"15-415 Southwest Anchorage No. 3","41","513","9","380","0"
"15-420 Southwest Anchorage No. 4","51","459","14","301","5"
"15-425 Southwest Anchorage No. 5","41","437","8","307","1"
"15-430 Southwest Anchorage No. 6","61","577","15","526","3"
