"1","Howe","Peltola","Blank","Exhausted","Overvote"
"01-600 Ketchikan No. 1","73","318","7","162","1"
"01-610 Ketchikan No. 2","96","426","23","299","2"
"01-620 Ketchikan No. 3","62","218","11","269","1"
"01-640 North Tongass No. 1","44","136","6","227","0"
"01-650 North Tongass No. 2","94","248","12","385","1"
"01-660 Saxman","10","77","2","25","0"
"01-670 South Tongass","85","263","2","278","1"
"01-675 Coffman Cove","14","27","9","60","0"
"01-680 Metlakatla","48","293","11","104","1"
"01-690 Wrangell","109","245","15","306","2"
"02-700 Angoon","10","82","1","20","0"
"02-705 Craig","53","139","24","177","3"
"02-720 Hoonah","28","145","9","81","1"
"02-725 Hydaburg","6","77","3","12","0"
"02-730 Kake","20","118","6","37","0"
"02-735 Kasaan","4","10","1","10","0"
"02-740 Klawock","54","148","14","127","2"
"02-750 Pelican-Elfin Cove","0","21","4","15","0"
"02-755 Petersburg-Kupreanof","126","367","37","312","1"
"02-760 Port Alexander","0","7","0","3","1"
"02-765 Sitka No. 1","116","528","24","296","2"
"02-770 Sitka No. 2","116","532","25","232","0"
"02-775 Tenakee Springs","5","30","1","6","0"
"02-780 Thorne Bay","32","36","9","113","0"
"02-785 Yakutat","26","132","2","63","3"
"03-300 Auke Bay","53","301","4","126","0"
"03-305 Lynn Canal","32","268","8","123","0"
"03-310 Melvin Park","82","322","8","162","2"
"03-315 Mendenhall Glacier","115","486","5","317","1"
"03-320 Thunder Mountain","97","442","13","250","0"
"03-325 Gustavus","23","120","2","44","0"
"03-330 Haines No. 1","102","353","7","186","1"
"03-335 Haines No. 2","8","56","4","41","0"
"03-340 Klukwan","4","31","1","5","0"
"03-345 Skagway","51","280","12","69","0"
"04-100 Douglas","33","419","4","72","1"
"04-105 Juneau Airport Area","49","147","4","99","0"
"04-110 Juneau No. 1","38","313","6","76","0"
"04-115 Juneau No. 2","23","390","1","47","0"
"04-120 Juneau No. 3","17","189","3","48","1"
"04-125 Lemon Creek","76","357","9","128","1"
"04-130 Glacier Valley Area","54","224","3","104","3"
"04-135 North Douglas","30","341","6","68","0"
"05-800 Chiniak","6","21","1","26","0"
"05-810 Flats","97","211","9","244","1"
"05-815 Kodiak Island South","2","13","0","2","0"
"05-820 Kodiak No. 1","70","319","13","245","2"
"05-825 Kodiak No. 2","82","347","14","251","2"
"05-830 Mission Road","212","618","22","554","2"
"05-835 Old Harbor","2","20","1","7","0"
"05-840 Ouzinkie","7","39","1","10","0"
"05-845 Port Lions","8","23","0","36","0"
"05-860 Cordova","62","270","10","141","4"
"05-865 Seward-Lowell Point","62","253","10","155","1"
"05-870 Tatitlek","4","12","0","3","0"
"06-200 Anchor Point","164","271","20","534","2"
"06-210 Diamond Ridge","29","186","8","126","0"
"06-220 Fox River","18","79","9","152","0"
"06-230 Homer No. 1","59","293","9","194","0"
"06-240 Homer No. 2","55","258","8","227","0"
"06-250 Kachemak-Fritz Creek","72","381","9","218","0"
"06-260 Kasilof","154","311","22","600","2"
"06-270 Ninilchik","97","180","13","344","0"
"06-280 Seldovia-Kachemak Bay","13","85","10","52","1"
"07-005 Central","143","206","15","381","2"
"07-010 K Beach","159","250","16","475","1"
"07-015 Kenai No. 1","150","257","19","322","6"
"07-020 Kenai No. 2","80","136","6","226","0"
"07-025 Kenai No. 3","49","122","7","164","0"
"07-030 Soldotna","152","270","24","399","1"
"08-035 Bear Creek","89","276","8","224","0"
"08-040 Cooper Landing","10","76","0","61","0"
"08-045 Funny River No. 1","55","88","2","195","0"
"08-050 Funny River No. 2","52","59","10","153","0"
"08-055 Hope","4","46","2","17","0"
"08-060 Mackey Lake","76","149","14","300","0"
"08-065 Moose Pass","19","79","2","61","0"
"08-070 Nikiski","158","163","17","465","0"
"08-075 Salamatof","145","162","14","445","2"
"08-080 Sterling No. 1","124","167","11","405","0"
"08-085 Sterling No. 2","121","173","19","505","0"
"09-105 Girdwood","51","633","14","131","1"
"09-110 Indian","9","78","4","40","0"
"09-115 South Anchorage No. 1","135","558","7","440","0"
"09-120 South Anchorage No. 2","131","506","9","569","1"
"09-125 South Anchorage No. 3","124","478","8","424","1"
"09-130 South Anchorage No. 4","96","542","13","478","0"
"09-135 South Anchorage No. 5","44","254","2","200","0"
"09-140 Stuckagain Heights","8","98","2","51","0"
"09-145 Whittier","6","35","4","38","0"
"10-150 Dimond","116","419","22","266","1"
"10-155 Oceanview No. 1","99","539","17","388","2"
"10-160 Oceanview No. 2","77","352","25","261","3"
"10-165 Oceanview No. 3","117","467","15","358","4"
"10-170 Oceanview No. 4","80","429","8","315","2"
"10-175 Oceanview No. 5","83","330","12","250","0"
"11-205 Hillside No. 1","92","311","8","217","3"
"11-210 Hillside No. 2","148","610","8","442","3"
"11-215 Hillside No. 3","56","278","17","289","0"
