"1","Howe","Peltola","Blank","Exhausted","Overvote"
"House District 1","977","3857","184","3530","13"
"House District 10","873","4661","145","3097","20"
"House District 11","889","5186","85","3700","12"
"House District 12","819","4793","95","2801","14"
"House District 13","818","4182","104","2444","10"
"House District 14","648","4798","136","1829","17"
"House District 15","884","4994","97","3331","12"
"House District 16","815","6092","102","2677","9"
"House District 17","558","5309","150","1663","27"
"House District 18","574","1888","156","1532","7"
"House District 19","529","3138","102","1193","22"
"House District 2","1044","5168","303","3002","31"
"House District 20","697","4407","117","2000","24"
"House District 21","898","5237","112","2768","29"
"House District 22","661","2975","100","1685","29"
"House District 23","1383","4729","148","4351","3"
"House District 24","1332","3884","135","4738","11"
"House District 25","1492","3713","189","5008","16"
"House District 26","1533","2480","217","5164","6"
"House District 27","1544","2245","161","4839","16"
"House District 28","1502","2761","141","4844","8"
"House District 29","1583","3305","180","5397","9"
"House District 3","1071","6836","153","2989","15"
"House District 30","1635","3198","237","5216","20"
"House District 31","934","3707","109","2153","26"
"House District 32","873","2176","109","2079","8"
"House District 33","1712","2435","146","4474","14"
"House District 34","1495","4286","202","3707","14"
"House District 35","1138","5547","116","2897","13"
"House District 36","1344","4264","174","3811","21"
"House District 37","464","2394","109","1372","33"
"House District 38","468","2641","52","637","33"
"House District 39","577","2876","80","696","29"
"House District 4","639","6749","108","1726","18"
"House District 40","448","1995","77","771","19"
"House District 5","1016","3897","156","2847","24"
"House District 6","1200","5378","261","5104","9"
"House District 7","1472","3039","215","4841","19"
"House District 8","1524","3120","185","5939","10"
"House District 9","1029","6499","125","4222","7"
"House District 99","21","314","15","47","1"
"Total","41113","161153","5788","127121","678"
