"1","Begich","Begich","Begich","Begich","Howe","Howe","Howe","Howe","Peltola","Peltola","Peltola","Peltola","Blank","Exhausted","Overvote"
"2","","Howe","Overvote","Peltola","","Begich","Overvote","Peltola","","Begich","Howe","Overvote","","",""
"01-600 Ketchikan No. 1","160","39","0","10","13","14","0","7","201","27","80","0","7","2","1"
"01-610 Ketchikan No. 2","296","50","0","17","22","19","0","5","300","33","76","0","23","3","2"
"01-620 Ketchikan No. 3","266","22","0","15","30","7","0","3","153","17","33","0","11","3","1"
"01-640 North Tongass No. 1","224","27","0","7","13","3","0","1","88","12","29","0","6","3","0"
"01-650 North Tongass No. 2","383","66","0","20","16","7","0","5","162","17","49","0","12","2","1"
"01-660 Saxman","23","5","0","2","5","0","0","0","51","5","19","0","2","2","0"
"01-670 South Tongass","276","62","0","15","11","6","0","6","169","21","58","0","2","2","1"
"01-675 Coffman Cove","59","5","0","0","8","1","0","0","22","3","2","0","9","1","0"
"01-680 Metlakatla","101","21","0","13","14","5","0","8","202","22","56","0","11","3","1"
"01-690 Wrangell","304","67","0","12","22","18","0","2","157","18","58","0","15","2","2"
"02-700 Angoon","19","0","0","0","5","1","0","4","64","3","15","0","1","1","0"
"02-705 Craig","174","27","0","6","14","5","0","7","91","5","37","0","24","3","3"
"02-720 Hoonah","80","10","0","6","7","4","0","7","103","6","30","0","9","1","1"
"02-725 Hydaburg","9","1","0","2","0","1","0","4","64","1","10","0","3","3","0"
"02-730 Kake","34","10","0","4","3","1","0","6","81","8","25","0","6","3","0"
"02-735 Kasaan","10","0","0","0","2","1","0","1","8","0","2","0","1","0","0"
"02-740 Klawock","124","27","0","6","12","7","0","8","105","9","28","0","14","3","2"
"02-750 Pelican-Elfin Cove","15","0","0","1","0","0","0","0","12","3","5","0","4","0","0"
"02-755 Petersburg-Kupreanof","308","76","0","22","25","16","0","9","259","32","54","0","37","4","1"
"02-760 Port Alexander","3","0","0","0","0","0","0","0","6","0","1","0","0","0","1"
"02-765 Sitka No. 1","294","64","1","32","27","12","0","13","347","34","114","1","24","2","1"
"02-770 Sitka No. 2","229","61","0","26","27","9","1","18","319","51","136","0","25","3","0"
"02-775 Tenakee Springs","6","2","0","2","2","1","0","0","23","0","5","0","1","0","0"
"02-780 Thorne Bay","113","11","0","1","18","2","0","1","25","5","5","0","9","0","0"
"02-785 Yakutat","60","6","1","4","12","4","0","4","107","3","18","0","2","3","2"
"03-300 Auke Bay","123","31","0","9","3","12","0","7","212","21","58","1","4","3","0"
"03-305 Lynn Canal","122","26","0","9","2","4","0","0","204","10","45","0","8","1","0"
"03-310 Melvin Park","161","54","0","18","7","11","0","10","194","27","83","0","8","1","2"
"03-315 Mendenhall Glacier","315","71","0","20","19","13","0","12","300","38","128","0","5","2","1"
"03-320 Thunder Mountain","248","55","0","15","15","18","0","9","267","44","116","0","13","2","0"
"03-325 Gustavus","43","12","0","7","5","6","0","0","84","2","27","0","2","1","0"
"03-330 Haines No. 1","185","51","0","21","25","15","0","11","235","23","74","0","7","1","1"
"03-335 Haines No. 2","41","6","0","2","2","0","0","0","37","3","14","0","4","0","0"
"03-340 Klukwan","5","0","0","0","1","2","1","0","16","2","13","0","1","0","0"
"03-345 Skagway","69","18","0","11","9","10","0","14","179","15","75","0","12","0","0"
"04-100 Douglas","71","17","0","14","7","5","0","4","292","26","87","0","4","1","1"
"04-105 Juneau Airport Area","98","29","0","6","10","6","0","4","91","25","25","0","4","1","0"
"04-110 Juneau No. 1","74","20","0","8","5","9","1","3","212","18","75","0","6","2","0"
"04-115 Juneau No. 2","47","13","0","4","3","5","0","2","285","15","86","0","1","0","0"
"04-120 Juneau No. 3","48","12","0","6","3","1","0","1","130","14","39","0","3","0","1"
"04-125 Lemon Creek","127","42","0","17","10","19","0","5","228","39","73","0","9","1","1"
"04-130 Glacier Valley Area","103","35","1","12","3","6","0","10","125","23","64","0","3","1","2"
"04-135 North Douglas","68","24","0","8","3","1","0","2","231","19","83","0","6","0","0"
"05-800 Chiniak","26","4","0","0","2","0","0","0","16","1","4","0","1","0","0"
"05-810 Flats","243","63","0","16","21","7","0","6","132","13","50","0","9","1","1"
"05-815 Kodiak Island South","2","1","0","0","1","0","0","0","12","1","0","0","0","0","0"
"05-820 Kodiak No. 1","241","41","0","25","11","12","0","6","227","26","41","0","13","4","2"
"05-825 Kodiak No. 2","247","35","0","22","23","16","0","8","236","29","60","0","14","4","2"
"05-830 Mission Road","550","141","1","37","30","32","0","9","383","62","136","0","22","4","1"
"05-835 Old Harbor","7","0","0","0","2","0","0","0","15","1","4","0","1","0","0"
"05-840 Ouzinkie","9","4","0","0","1","1","0","1","30","3","6","0","1","1","0"
"05-845 Port Lions","36","4","0","2","3","1","0","0","18","0","3","0","0","0","0"
"05-860 Cordova","141","41","1","13","7","8","0","6","186","19","52","0","10","0","3"
"05-865 Seward-Lowell Point","150","37","0","8","12","8","0","5","180","21","44","0","10","5","1"
"05-870 Tatitlek","2","3","0","0","0","1","0","0","4","3","5","0","0","1","0"
"06-200 Anchor Point","527","102","1","19","39","16","0","7","177","12","63","0","20","7","1"
"06-210 Diamond Ridge","125","13","0","4","5","9","0","2","127","9","46","0","8","1","0"
"06-220 Fox River","152","9","0","3","3","3","0","3","49","9","17","1","9","0","0"
"06-230 Homer No. 1","189","34","0","12","17","5","0","3","176","32","73","0","9","5","0"
"06-240 Homer No. 2","224","33","0","3","13","5","0","4","184","11","60","0","8","3","0"
"06-250 Kachemak-Fritz Creek","218","42","0","7","15","13","0","2","268","25","80","1","9","0","0"
"06-260 Kasilof","596","85","0","26","48","14","0","7","216","16","53","0","22","4","2"
"06-270 Ninilchik","343","57","0","5","26","11","0","3","120","14","41","0","13","1","0"
