"1","Begich","Begich","Begich","Begich","Howe","Howe","Howe","Howe","Peltola","Peltola","Peltola","Peltola","Blank","Exhausted","Overvote"
"2","","Howe","Overvote","Peltola","","Begich","Overvote","Peltola","","Begich","Howe","Overvote","","",""
"House District 1","3485","566","0","173","221","126","0","64","2631","283","770","0","184","45","13"
"House District 10","3063","632","2","211","115","56","2","68","3103","358","985","4","145","34","18"
"House District 11","3682","630","2","205","97","89","0","73","3533","390","1056","2","85","18","10"
"House District 12","2780","591","2","230","99","84","0","45","3098","438","1022","5","95","21","12"
"House District 13","2398","558","1","177","91","105","0","64","2651","343","1007","4","104","46","9"
"House District 14","1798","404","1","154","103","86","1","54","3282","306","1051","5","136","31","16"
"House District 15","3297","609","1","239","91","99","1","84","3286","469","996","4","97","34","11"
"House District 16","2652","612","0","200","79","73","1","50","4124","550","1212","6","102","25","9"
"House District 17","1620","387","5","127","56","62","0","53","3749","329","1101","3","150","43","22"
"House District 18","1488","363","0","89","93","71","0","47","1242","157","400","0","156","44","7"
"House District 19","1166","286","2","91","112","74","1","56","2203","237","605","2","102","27","20"
"House District 2","2951","561","3","180","238","123","1","121","3652","289","1045","2","303","51","28"
"House District 20","1968","475","2","163","98","64","1","59","2822","437","982","3","117","32","22"
"House District 21","2718","645","4","180","113","89","1","50","3548","392","1113","4","112","50","25"
"House District 22","1644","408","3","147","89","74","2","88","1817","258","749","4","100","41","26"
"House District 23","4322","971","0","233","152","174","1","85","3092","437","965","2","148","29","3"
"House District 24","4721","989","1","253","152","142","1","48","2450","377","802","2","135","17","10"
"House District 25","4976","1053","2","175","208","164","0","67","2372","287","878","1","189","32","14"
"House District 26","5139","978","1","183","244","201","0","110","1502","211","583","1","217","25","5"
"House District 27","4813","1040","3","143","238","200","0","66","1385","172","543","2","161","26","13"
"House District 28","4821","1039","1","197","234","163","0","66","1648","254","658","4","141","23","7"
"House District 29","5368","1141","1","163","209","179","0","54","2111","260","771","0","180","29","8"
"House District 3","2969","652","1","211","177","141","1","100","4907","381","1334","3","153","20","14"
"House District 30","5184","1043","3","149","310","207","1","74","2148","200","700","1","237","32","17"
"House District 31","2129","525","3","135","164","139","0","106","2404","303","859","6","109","24","23"
"House District 32","2056","587","1","151","122","112","1","51","1261","233","531","0","109","23","7"
"House District 33","4435","1228","5","174","223","186","1","74","1358","238","664","1","146","39","9"
"House District 34","3675","1005","2","197","207","184","1","98","2799","316","973","1","202","32","12"
"House District 35","2871","772","3","182","135","144","1","86","3717","391","1257","0","116","26","10"
"House District 36","3773","895","2","154","230","156","0","63","2874","413","816","7","174","38","19"
"House District 37","1324","273","6","130","99","52","2","38","1549","272","435","8","109","48","27"
"House District 38","602","254","4","151","78","62","5","69","1433","426","619","12","52","35","29"
"House District 39","674","253","3","163","129","101","4","90","1613","430","661","9","80","22","26"
"House District 4","1708","380","1","169","100","98","2","59","4863","438","1274","5","108","18","17"
"House District 40","728","196","2","131","130","74","0","48","1133","302","423","6","77","43","17"
"House District 5","2808","663","4","193","163","120","0","70","2660","295","748","1","156","39","20"
"House District 6","5061","736","1","154","283","121","2","58","3887","269","1064","4","261","43","8"
"House District 7","4802","927","7","159","275","185","1","84","2028","249","597","6","215","39","12"
"House District 8","5918","1083","3","174","236","165","0","40","2089","262","591","4","185","21","7"
"House District 9","4199","819","1","199","98","70","0","42","4404","516","1375","5","125","23","6"
"House District 99","35","13","0","3","4","2","0","2","240","27","44","0","15","12","1"
"Total","125821","27242","89","6892","6295","4817","35","2724","106668","13195","34259","139","5788","1300","589"
