"1","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Blank","Overvote"
"2","","Hafner","Hafner","Hafner","Hafner","Howe","Howe","Howe","Howe","Overvote","Peltola","Peltola","Peltola","Peltola","","Begich","Begich","Begich","Begich","Howe","Howe","Howe","Howe","Overvote","Peltola","Peltola","Peltola","Peltola","","Begich","Begich","Begich","Begich","Hafner","Hafner","Hafner","Hafner","Overvote","Peltola","Peltola","Peltola","Peltola","","Begich","Begich","Begich","Begich","Hafner","Hafner","Hafner","Hafner","Howe","Howe","Howe","Howe","Overvote","",""
"3","","","Howe","Overvote","Peltola","","Hafner","Overvote","Peltola","","","Hafner","Howe","Overvote","","","Howe","Overvote","Peltola","","Begich","Overvote","Peltola","","","Begich","Howe","Overvote","","","Hafner","Overvote","Peltola","","Begich","Overvote","Peltola","","","Begich","Hafner","Overvote","","","Hafner","Howe","Overvote","","Begich","Howe","Overvote","","Begich","Hafner","Overvote","","",""
"01-600 Ketchikan No. 1","158","1","8","0","0","15","13","0","3","0","4","3","3","0","2","1","0","0","0","0","0","0","1","0","2","0","1","0","13","7","2","0","1","0","4","0","2","0","2","1","1","0","176","12","3","6","1","23","5","40","0","9","4","26","0","0","7","1"
"01-610 Ketchikan No. 2","293","3","11","0","0","23","9","0","7","0","6","5","6","0","3","0","0","0","0","0","0","0","0","1","1","0","1","0","22","14","4","0","0","0","1","0","1","0","1","0","3","0","259","16","7","3","0","40","7","42","0","9","4","20","0","0","23","1"
"01-620 Ketchikan No. 3","264","2","1","0","0","17","4","0","0","0","11","2","2","0","3","0","0","0","0","1","0","0","0","0","1","1","1","0","28","3","1","0","3","1","0","0","0","0","2","0","1","0","138","13","1","1","0","14","1","12","0","4","3","13","0","0","11","1"
"01-640 North Tongass No. 1","220","4","6","0","1","12","6","0","3","0","4","0","2","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","13","2","1","0","0","0","0","0","1","0","0","0","0","0","79","6","3","2","0","9","1","13","0","3","0","13","0","0","6","0"
"01-650 North Tongass No. 2","379","4","9","0","1","35","18","0","4","0","12","1","5","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","16","4","2","0","1","0","0","0","0","0","3","0","2","0","142","6","2","5","0","20","4","28","0","7","1","13","0","0","12","1"
"01-660 Saxman","23","0","0","0","0","2","2","1","0","0","1","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","3","0","0","0","0","2","0","0","0","0","0","0","0","0","48","0","3","1","0","3","1","5","0","1","2","10","0","0","2","0"
"01-670 South Tongass","274","2","8","0","1","29","14","0","11","0","7","3","4","0","2","0","0","0","0","0","0","0","1","0","1","0","0","0","11","6","0","0","0","0","0","0","1","0","2","2","0","0","145","13","3","2","0","23","3","26","0","12","7","13","0","0","2","1"
"01-675 Coffman Cove","59","0","1","0","0","3","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","8","1","0","0","0","0","0","0","0","0","0","0","0","0","22","1","0","1","0","0","1","1","0","0","0","1","0","0","9","0"
"01-680 Metlakatla","101","0","6","0","1","6","8","0","1","0","5","2","5","0","3","0","0","0","0","1","1","0","1","0","0","0","4","0","12","1","0","0","2","1","1","0","2","0","1","1","3","0","193","11","2","7","0","9","2","19","0","6","4","23","0","0","11","1"
"01-690 Wrangell","302","2","5","0","0","36","18","1","7","0","7","2","3","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","21","8","6","0","2","1","2","0","0","0","0","2","0","0","135","9","2","3","0","22","4","27","0","7","5","18","1","0","15","2"
"02-700 Angoon","18","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","5","1","0","0","0","0","0","0","0","0","0","2","1","0","62","0","0","3","0","1","0","10","0","2","0","3","0","0","1","0"
"02-705 Craig","174","0","1","0","0","12","10","1","3","0","4","0","2","0","3","0","0","0","0","0","1","0","1","1","2","0","1","0","14","1","1","0","2","0","0","0","2","0","0","2","2","0","84","3","2","0","0","5","0","23","0","2","1","10","0","0","24","2"
"02-720 Hoonah","80","0","3","0","0","4","1","1","1","0","2","0","4","0","1","0","0","0","0","0","1","0","2","0","0","0","0","0","6","2","1","0","0","1","0","0","2","0","0","0","3","0","98","1","2","3","0","5","0","16","0","4","1","9","0","0","9","1"
"02-725 Hydaburg","9","0","0","0","0","1","0","0","0","0","1","0","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","3","0","61","0","0","1","0","3","0","5","0","1","0","4","0","0","3","0"
"02-730 Kake","34","0","3","0","0","2","5","0","0","0","1","1","2","0","3","0","0","0","0","0","0","0","1","0","0","2","1","0","3","0","0","0","1","0","0","0","2","0","0","1","2","0","79","2","1","2","0","2","1","14","0","1","3","6","0","0","6","0"
"02-735 Kasaan","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","1","0","0","0","0","0","8","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0"
"02-740 Klawock","123","1","0","0","0","14","8","0","2","0","3","0","3","0","3","0","3","0","0","0","1","0","3","0","0","0","0","0","12","2","2","0","1","0","1","0","1","0","2","2","0","0","95","5","2","1","0","10","1","16","0","1","2","9","0","0","14","2"
"02-750 Pelican-Elfin Cove","15","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","1","1","1","0","2","0","1","0","2","1","1","0","0","4","0"
"02-755 Petersburg-Kupreanof","307","1","7","0","2","38","18","0","13","0","10","1","8","0","4","0","0","0","1","0","0","0","0","0","0","1","0","0","25","7","3","0","5","0","1","0","3","0","4","0","2","0","218","13","6","9","0","41","3","22","0","10","5","17","0","0","37","1"
"02-760 Port Alexander","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"02-765 Sitka No. 1","293","1","5","0","0","29","22","1","7","1","15","5","11","1","2","0","0","0","0","1","0","0","0","0","1","0","1","0","24","6","5","0","1","2","0","0","5","0","3","1","4","0","304","12","3","16","0","42","3","69","0","13","4","27","0","1","24","1"
"02-770 Sitka No. 2","228","1","6","0","1","34","13","0","8","0","13","3","9","0","3","0","0","0","0","1","2","1","3","0","2","1","4","0","25","2","3","0","2","1","0","0","5","0","5","3","2","0","264","27","7","11","0","53","5","75","0","9","7","41","0","0","25","0"
"02-775 Tenakee Springs","6","0","0","0","0","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","23","0","0","0","0","0","0","2","0","1","0","1","0","0","1","0"
"02-780 Thorne Bay","113","0","0","0","0","6","4","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","1","1","0","0","0","0","0","0","0","0","0","1","0","21","3","1","1","0","4","0","2","0","0","1","2","0","0","9","0"
"02-785 Yakutat","60","0","0","0","0","4","2","0","0","1","2","0","2","0","3","0","0","0","0","0","0","0","0","0","1","0","1","0","12","2","1","0","0","0","1","0","1","0","0","2","1","0","101","1","0","1","0","5","1","10","0","0","0","7","0","0","2","2"
"03-300 Auke Bay","123","0","2","0","0","19","6","0","4","0","6","0","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","2","8","1","0","1","1","2","0","0","0","4","1","2","0","175","18","0","2","0","37","1","27","0","7","8","16","0","1","4","0"
"03-305 Lynn Canal","122","0","1","0","2","20","3","0","2","0","6","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","0","0","0","0","1","0","0","0","0","0","0","0","176","4","0","3","0","28","3","20","0","9","8","8","0","0","8","0"
"03-310 Melvin Park","159","2","0","0","1","32","12","0","10","0","7","1","9","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","7","3","4","0","2","0","2","0","4","0","4","0","2","0","167","16","1","5","0","26","5","45","0","11","4","23","0","0","8","2"
"03-315 Mendenhall Glacier","314","1","10","0","1","37","14","0","10","0","6","3","10","0","2","0","0","0","0","0","0","0","0","0","3","0","0","0","19","7","3","0","2","0","1","0","3","0","1","5","3","0","258","14","3","12","0","39","9","52","0","17","15","44","0","0","5","1"
"03-320 Thunder Mountain","246","2","3","0","0","29","16","0","5","0","10","3","1","0","2","0","2","0","1","0","1","0","2","0","0","1","1","0","15","7","4","0","4","0","2","0","1","0","1","2","3","0","221","20","5","14","0","46","4","53","0","15","11","36","0","0","13","0"
"03-325 Gustavus","43","0","0","0","0","6","2","0","4","0","2","1","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","1","0","0","1","2","0","0","0","0","0","0","0","69","0","0","2","0","15","0","14","0","7","2","4","0","0","2","0"
"03-330 Haines No. 1","184","1","4","0","1","29","9","0","9","0","13","0","7","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","24","12","1","0","2","1","0","0","2","0","2","4","3","0","191","10","5","5","0","44","3","43","0","7","4","20","0","0","7","1"
"03-335 Haines No. 2","41","0","0","0","0","4","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","30","2","0","0","0","7","1","6","0","4","0","4","0","0","4","0"
"03-340 Klukwan","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","1","0","0","0","0","16","1","0","0","0","0","1","4","0","0","3","6","0","0","1","0"
"03-345 Skagway","68","1","0","0","1","10","5","0","3","0","6","2","2","0","0","0","0","0","0","0","0","0","1","0","0","0","4","0","9","4","4","0","0","0","2","0","2","0","4","3","4","0","130","6","0","6","0","49","3","36","0","6","12","17","0","0","12","0"
"04-100 Douglas","71","0","1","0","0","9","4","0","3","0","8","3","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","7","2","2","0","0","0","1","0","2","0","1","1","0","0","239","9","5","4","0","53","8","54","0","10","6","17","0","0","4","1"
"04-105 Juneau Airport Area","98","0","0","0","0","13","11","0","5","0","3","3","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","9","3","1","0","1","1","0","0","4","0","0","0","0","0","71","12","5","5","0","20","3","17","0","3","1","4","0","0","4","0"
"04-110 Juneau No. 1","73","1","2","0","2","8","7","0","3","0","5","0","1","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","4","4","1","0","2","1","1","1","0","0","2","1","0","0","170","7","3","6","0","42","2","45","0","12","6","12","0","0","6","0"
"04-115 Juneau No. 2","46","1","1","0","0","7","3","0","2","0","3","1","0","0","0","0","0","0","0","0","2","0","1","0","1","0","1","0","3","2","0","0","1","0","0","0","1","0","0","0","0","0","221","7","3","4","0","63","1","58","0","10","0","17","0","0","1","0"
"04-120 Juneau No. 3","48","0","2","0","0","6","1","0","3","0","4","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","1","0","0","0","104","4","4","2","0","26","4","21","0","8","1","9","0","0","3","1"
"04-125 Lemon Creek","126","1","6","0","2","15","11","0","10","0","5","4","5","0","1","0","0","0","1","0","0","0","1","0","0","2","0","0","10","4","4","0","2","0","9","0","2","0","0","2","0","0","202","12","12","8","0","26","5","44","0","8","5","15","1","0","9","1"
