"1","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Blank","Overvote"
"2","","Hafner","Hafner","Hafner","Hafner","Howe","Howe","Howe","Howe","Overvote","Peltola","Peltola","Peltola","Peltola","","Begich","Begich","Begich","Begich","Howe","Howe","Howe","Howe","Overvote","Peltola","Peltola","Peltola","Peltola","","Begich","Begich","Begich","Begich","Hafner","Hafner","Hafner","Hafner","Overvote","Peltola","Peltola","Peltola","Peltola","","Begich","Begich","Begich","Begich","Hafner","Hafner","Hafner","Hafner","Howe","Howe","Howe","Howe","Overvote","",""
"3","","","Howe","Overvote","Peltola","","Hafner","Overvote","Peltola","","","Hafner","Howe","Overvote","","","Howe","Overvote","Peltola","","Begich","Overvote","Peltola","","","Begich","Howe","Overvote","","","Hafner","Overvote","Peltola","","Begich","Overvote","Peltola","","","Begich","Hafner","Overvote","","","Hafner","Howe","Overvote","","Begich","Howe","Overvote","","Begich","Hafner","Overvote","","",""
"House District 1","3454","29","73","0","7","275","149","3","64","0","97","23","45","0","45","2","2","0","1","3","5","0","5","1","20","1","15","0","211","67","25","0","15","7","14","0","14","0","15","12","18","0","2285","140","42","44","1","326","55","396","0","94","42","222","1","0","184","12"
"House District 10","3043","18","48","0","6","290","219","1","73","2","120","23","61","0","34","2","1","0","1","3","3","1","21","1","23","9","19","0","109","22","14","0","10","3","7","0","19","1","6","6","16","0","2591","158","35","81","0","489","75","617","1","95","59","195","0","3","145","17"
"House District 11","3657","24","37","0","10","298","211","0","81","2","111","23","56","0","18","1","3","0","5","2","4","0","5","0","10","6","15","0","94","38","22","0","15","1","10","0","13","0","20","13","22","0","2940","179","45","95","0","583","65","571","1","127","79","262","2","1","85","10"
"House District 12","2760","15","67","0","17","250","207","0","66","2","91","74","45","0","21","5","1","0","3","4","5","0","6","0","11","6","13","0","93","33","14","0","19","2","13","0","8","0","9","16","6","0","2525","152","113","80","1","562","86","635","2","101","62","211","0","3","95","12"
"House District 13","2378","18","70","0","8","206","212","0","65","1","84","35","47","0","46","2","5","0","3","5","10","0","8","0","32","4","22","0","80","41","26","0","17","6","11","0","23","0","7","12","14","0","2134","117","71","76","0","485","75","618","2","89","45","233","0","2","104","9"
"House District 14","1785","9","40","1","3","178","140","1","44","0","79","12","57","0","31","4","1","0","3","5","5","0","12","1","36","7","21","1","91","34","15","0","18","7","14","0","16","1","13","7","6","0","2664","116","48","81","0","582","54","653","0","108","55","214","0","4","136","15"
"House District 15","3268","26","53","0","9","266","194","0","96","1","130","23","74","0","34","3","0","0","3","3","2","0","7","0","11","2","9","0","85","41","22","1","25","3","8","0","11","1","19","25","22","0","2689","206","58","113","1","586","89","555","2","102","87","243","0","2","97","11"
"House District 16","2628","24","57","0","12","293","200","0","59","0","93","63","29","0","25","0","3","0","3","2","1","0","3","0","12","7","11","0","75","26","15","0","18","2","13","0","14","1","7","16","10","0","3359","216","139","80","2","753","106","787","2","122","66","226","0","4","102","9"
"House District 17","1602","16","71","0","4","148","119","1","45","5","68","22","31","0","43","2","3","0","2","2","5","0","10","0","39","2","26","0","52","20","14","0","11","2","12","0","10","0","7","12","14","0","3052","138","41","52","0","658","96","638","3","108","46","281","2","0","150","22"
"House District 18","1481","7","23","0","5","161","129","0","50","0","38","15","29","1","44","0","0","0","1","3","0","0","9","0","27","7","14","0","85","31","20","0","13","5","7","0","11","0","6","12","9","0","982","68","16","32","0","233","34","257","0","40","23","66","0","0","156","7"
"House District 19","1159","6","12","1","4","139","101","1","32","1","42","18","24","0","27","1","1","0","3","5","4","0","9","0","8","3","8","0","104","26","17","0","10","3","17","0","7","1","10","11","19","0","1817","78","52","49","1","378","54","323","0","76","55","143","0","2","102","20"
"House District 2","2933","18","50","0","4","282","153","3","68","3","92","11","71","1","51","0","5","0","1","7","7","1","15","2","18","6","19","0","222","51","34","0","26","9","5","0","33","0","25","21","27","0","3139","118","41","82","0","495","42","605","1","111","61","249","0","1","303","26"
"House District 20","1945","21","51","0","14","204","160","0","58","2","68","50","30","1","32","2","2","0","0","6","6","0","3","0","17","4","4","0","83","22","7","0","14","9","15","0","24","1","12","5","15","0","2273","139","123","82","0","532","89","658","1","89","57","174","0","2","117","22"
"House District 21","2705","12","92","2","16","242","230","3","74","2","81","28","52","0","50","1","4","0","3","4","9","0","4","1","33","5","23","0","105","31","24","1","11","4","13","0","13","1","7","9","17","0","2884","164","59","56","0","631","108","644","0","100","62","284","0","4","112","24"
"House District 22","1633","10","46","0","10","138","177","3","40","3","51","21","64","0","41","1","4","0","1","6","6","0","21","2","24","3","16","0","76","30","10","0","21","7","7","0","27","2","13","12","15","0","1481","86","29","92","0","312","48","485","1","55","49","144","0","3","100","24"
"House District 23","4299","21","47","0","8","508","262","2","151","0","109","31","82","0","29","2","1","0","3","9","2","0","3","0","16","2","8","0","142","86","25","0","52","1","9","1","10","0","23","25","24","0","2530","193","60","113","0","546","69","519","0","128","109","201","0","2","148","3"
"House District 24","4693","27","80","0","14","505","308","1","94","1","132","57","49","0","17","1","1","0","1","2","4","0","5","0","11","4","7","0","146","69","26","0","24","4","19","0","15","1","8","10","10","0","2034","162","68","61","0","405","82","478","0","114","48","155","0","2","135","10"
"House District 25","4952","22","110","1","16","480","343","2","114","1","85","22","49","0","32","2","4","0","3","6","4","0","9","0","20","4","13","0","198","85","37","0","21","4","17","0","16","0","8","11","23","0","1958","120","56","46","0","394","61","479","0","90","59","237","0","1","189","14"
"House District 26","5122","15","56","1","3","488","339","0","92","0","79","24","74","1","25","2","3","0","2","3","1","0","13","1","9","1","14","0","238","107","42","0","34","3","17","0","34","0","21","17","25","0","1220","95","22","60","0","273","33","335","0","68","38","128","0","1","217","4"
"House District 27","4786","24","60","0","11","479","379","3","117","3","71","13","44","0","26","3","2","0","4","5","5","0","5","0","8","2","9","0","225","98","37","0","39","8","21","0","9","0","11","23","17","1","1149","63","26","49","0","228","32","278","0","58","40","158","0","2","161","13"
"House District 28","4794","26","86","0","18","532","306","3","110","1","88","51","38","1","23","1","2","0","1","2","6","0","5","0","10","3","8","0","219","81","27","0","31","13","18","0","20","0","12","13","16","0","1372","113","50","40","0","266","48","404","0","87","35","124","0","4","141","7"
"House District 29","5335","31","101","1","10","577","339","1","119","0","89","15","48","0","29","2","4","0","1","2","6","0","8","0","19","0","11","0","203","97","30","0","32","4","14","0","6","0","21","12","7","0","1770","111","34","49","0","322","66","382","0","112","52","214","0","0","180","8"
"House District 3","2950","18","31","0","9","370","153","1","93","1","119","25","55","0","20","1","4","0","3","1","3","0","7","0","19","3","11","0","168","73","30","0","19","8","16","0","19","1","26","23","25","0","4050","193","31","84","0","838","70","699","0","192","102","330","0","3","153","14"
"House District 30","5146","34","60","0","16","542","350","0","87","3","63","13","55","1","32","4","4","0","1","3","10","0","10","0","21","2","6","0","299","121","36","0","25","8","15","0","21","1","10","18","14","1","1733","84","21","61","1","394","31","403","0","86","48","156","1","1","237","17"
"House District 31","2112","13","50","0","9","238","155","0","80","3","52","21","51","0","24","4","2","0","2","8","1","0","7","1","10","3","13","0","150","66","25","0","34","6","13","0","17","0","24","38","20","0","2039","111","40","93","0","355","56","497","0","81","75","193","0","6","109","22"
"House District 32","2043","11","37","0","11","277","202","0","69","1","54","56","27","1","23","2","2","0","2","3","2","0","2","0","7","7","11","0","116","46","23","0","22","3","19","0","12","1","11","15","11","0","1029","77","63","38","0","225","48","341","0","48","29","102","0","0","109","7"
"House District 33","4407","25","111","1","9","550","411","2","147","4","69","36","60","0","39","3","7","0","0","8","7","0","8","2","21","1","16","0","209","78","52","1","29","6","19","1","13","0","15","14","24","0","1133","92","50","48","0","204","47","325","0","81","51","190","1","1","146","7"
"House District 34","3659","15","41","0","6","491","343","0","127","2","91","23","76","1","32","1","3","0","0","3","2","0","11","0","14","1","16","0","193","114","21","1","31","11","15","0","21","1","20","25","21","0","2275","159","26","65","0","510","65","559","0","127","72","199","0","1","202","12"
"House District 35","2857","12","39","1","7","401","235","1","93","2","105","23","46","0","26","2","3","0","1","3","1","0","9","0","20","2","16","0","130","60","35","0","37","2","11","0","12","1","17","25","23","0","2880","138","51","114","0","817","86","721","0","168","108","244","0","0","116","10"
"House District 36","3750","20","65","0","14","512","255","2","60","2","61","35","41","0","38","3","1","0","3","1","6","0","5","0","10","6","11","0","223","83","27","0","24","6","16","0","18","0","18","8","14","0","2419","124","127","82","2","445","72","442","1","113","56","194","0","6","174","19"
"House District 37","1309","14","60","1","7","93","91","0","24","5","58","29","33","2","48","1","5","0","1","1","4","1","6","0","12","2","7","0","94","16","10","1","10","4","11","0","10","1","4","7","11","0","1428","64","99","50","2","109","55","170","1","37","42","177","2","7","109","27"
"House District 38","594","7","38","0","6","50","119","2","41","3","33","32","77","1","35","1","4","1","2","2","11","0","22","2","5","5","13","0","74","3","19","0","9","2","20","0","19","5","4","9","15","0","1341","53","106","205","2","87","55","298","5","24","68","210","6","7","52","27"
"House District 39","672","2","31","0","10","60","100","0","59","3","37","37","71","1","22","0","3","0","7","4","5","0","8","0","3","5","5","0","116","14","21","0","28","9","33","2","17","2","7","39","19","0","1507","84","109","165","4","103","63","263","1","36","112","242","3","8","80","26"
"House District 4","1692","16","35","0","11","188","102","0","53","1","84","39","30","0","18","0","2","0","5","1","10","0","5","1","14","3","9","1","96","38","14","0","15","3","21","1","18","1","14","15","7","0","3929","163","95","70","0","920","107","818","1","166","59","221","1","3","108","16"
"House District 40","725","3","48","1","10","41","78","0","29","1","35","45","35","1","43","0","0","0","5","5","9","0","6","1","2","3","7","0","122","7","20","0","15","3","23","0","15","0","4","13","10","0","1059","36","125","81","0","72","57","214","1","16","27","159","0","5","77","16"
"House District 5","2790","14","73","1","13","325","181","1","81","3","88","28","63","0","39","4","2","0","1","1","4","0","5","1","12","6","14","0","161","57","30","0","20","1","9","0","12","0","10","21","22","0","2271","123","48","50","0","377","68","369","0","112","49","200","4","1","156","19"
"House District 6","5043","15","41","0","3","411","216","1","67","1","92","16","41","1","43","3","0","0","1","9","2","0","8","0","23","2","14","0","266","68","25","0","12","8","14","1","12","1","14","13","11","0","3126","130","22","63","0","738","52","642","0","152","44","211","1","4","261","8"
"House District 7","4769","30","41","0","10","448","319","0","115","7","78","23","48","0","39","3","4","0","0","6","4","1","5","0","11","4","4","0","264","90","31","1","37","5","22","0","18","0","20","27","14","0","1673","114","33","51","1","344","46","312","1","81","57","143","0","5","215","12"
"House District 8","5874","42","93","1","10","548","356","2","80","2","94","42","25","0","21","2","4","0","3","1","4","0","1","0","10","2","4","0","228","95","30","0","19","7","17","0","10","0","4","15","10","0","1708","113","42","51","1","371","53","374","2","74","35","104","0","2","185","7"
"House District 9","4167","31","112","0","8","399","233","0","72","1","110","21","59","0","23","1","3","0","1","3","3","0","6","0","20","1","18","0","91","33","9","1","16","4","8","0","10","0","8","9","9","0","3697","270","79","68","2","687","96","781","2","161","78","337","0","3","125","6"
"House District 99","34","0","0","0","0","6","7","0","0","0","3","0","0","0","12","1","0","0","0","0","0","0","0","0","11","0","6","0","4","1","0","0","1","0","0","0","1","0","0","1","0","0","160","4","3","5","0","69","15","32","0","0","3","3","0","0","15","1"
"Total","125005","741","2336","13","378","12889","8783","40","3089","75","3224","1198","1992","14","1300","75","105","1","86","152","188","4","317","17","659","146","506","2","5940","2199","961","7","879","203","583","6","628","25","510","635","632","2","88305","5064","2398","2957","21","17704","2609","19577","31","3829","2344","7979","24","106","5788","572"
