"1","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Blank","Overvote"
"2","","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Overvote","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Overvote","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Overvote","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Overvote","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Overvote","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","",""
"3","","","Howe","Howe","Howe","Howe","Overvote","Peltola","Peltola","Peltola","Write-in","Write-in","Write-in","","Hafner","Hafner","Hafner","Hafner","Overvote","Peltola","Peltola","Peltola","Peltola","Write-in","Write-in","Write-in","Write-in","","","Hafner","Hafner","Hafner","Hafner","Howe","Howe","Howe","Overvote","Write-in","Write-in","Write-in","","Hafner","Hafner","Hafner","Howe","Howe","Howe","Peltola","Peltola","Peltola","","","Howe","Howe","Howe","Overvote","Peltola","Peltola","Peltola","Write-in","","Begich","Begich","Begich","Begich","Overvote","Peltola","Peltola","Peltola","Write-in","Write-in","Write-in","","","Begich","Begich","Begich","Howe","Howe","Howe","Howe","Overvote","Write-in","Write-in","Write-in","","Begich","Begich","Howe","Howe","Howe","Peltola","Peltola","","","Hafner","Hafner","Hafner","Hafner","Overvote","Peltola","Peltola","Peltola","Peltola","Write-in","Write-in","Write-in","","Begich","Begich","Begich","Overvote","Peltola","Peltola","Peltola","Peltola","Write-in","Write-in","Write-in","","","Begich","Begich","Begich","Hafner","Hafner","Hafner","Overvote","Write-in","Write-in","","Begich","Begich","Begich","Begich","Hafner","Hafner","Peltola","Peltola","Peltola","","","Hafner","Hafner","Hafner","Hafner","Howe","Howe","Howe","Howe","Overvote","Write-in","Write-in","Write-in","","Begich","Begich","Begich","Howe","Howe","Howe","Howe","Overvote","Write-in","Write-in","Write-in","","Begich","Begich","Begich","Begich","Hafner","Hafner","Hafner","Hafner","Overvote","Write-in","Write-in","Write-in","","","Begich","Begich","Begich","Hafner","Hafner","Hafner","Howe","Howe","Howe","Howe","Overvote","","","Hafner","Hafner","Hafner","Howe","Howe","Howe","Peltola","Peltola","Peltola","","Begich","Begich","Begich","Howe","Howe","Howe","Howe","Peltola","Peltola","Peltola","","Begich","Begich","Begich","Hafner","Hafner","Hafner","Overvote","Peltola","Peltola","Peltola","","","Begich","Begich","Begich","Hafner","Hafner","Hafner","Howe","Howe","Howe","",""
"4","","","","Overvote","Peltola","Write-in","","","Howe","Write-in","","Howe","Peltola","","","Overvote","Peltola","Write-in","","","Hafner","Overvote","Write-in","","Hafner","Overvote","Peltola","","","","Howe","Overvote","Write-in","","Hafner","Write-in","","","Hafner","Howe","","","Howe","Peltola","","Hafner","Peltola","","Hafner","Howe","","","","Peltola","Write-in","","","Howe","Overvote","Peltola","","","Overvote","Peltola","Write-in","","","Begich","Write-in","","Begich","Peltola","","","","Howe","Write-in","","Begich","Overvote","Write-in","","","Begich","Howe","","Howe","Peltola","Begich","Overvote","Peltola","","Howe","","","","Overvote","Peltola","Write-in","","","Hafner","Overvote","Write-in","","Hafner","Peltola","","","Peltola","Write-in","","","Begich","Overvote","Write-in","","Begich","Peltola","","","","Hafner","Write-in","","Begich","Write-in","","","Hafner","","","Hafner","Overvote","Peltola","Begich","Peltola","","Begich","Hafner","","","","Howe","Overvote","Write-in","","Hafner","Overvote","Write-in","","","Hafner","Howe","","","Howe","Write-in","","Begich","Overvote","Write-in","","","Begich","Howe","","","Hafner","Overvote","Write-in","","Begich","Overvote","Write-in","","","Begich","Hafner","","","","Hafner","Howe","","Begich","Howe","","Begich","Hafner","Overvote","","","","","Howe","Peltola","","Hafner","Peltola","","Hafner","Howe","","","Howe","Peltola","","Begich","Overvote","Peltola","","Begich","Howe","","","Hafner","Peltola","","Begich","Peltola","","","Begich","Hafner","","","","Hafner","Howe","","Begich","Howe","","Begich","Hafner","",""
"House District 1","3450","29","21","0","51","0","0","2","5","0","0","0","0","267","29","0","108","3","2","15","48","0","0","7","7","1","0","0","97","1","22","0","0","11","33","0","0","0","0","0","4","0","1","0","0","1","1","0","0","1","44","2","1","0","1","0","0","0","0","1","3","3","0","2","0","0","3","1","0","0","0","0","1","20","0","1","0","3","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","210","67","4","0","20","1","0","6","9","0","0","0","0","0","7","1","13","0","0","2","11","0","0","0","0","0","0","15","7","5","0","4","12","0","0","0","0","1","0","0","0","0","0","1","0","0","1","2279","140","11","31","0","0","8","33","0","2","1","0","0","0","320","18","37","0","149","226","0","14","0","5","0","4","93","18","23","0","1","59","153","0","5","1","1","0","2","0","6","0","0","1","1","0","2","0","0","1","0","0","10","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","2","174","12"
"House District 10","3026","17","14","0","33","1","0","2","3","0","0","0","0","280","44","2","145","13","1","21","50","0","0","8","11","0","1","2","119","3","19","0","0","12","48","0","0","1","0","1","16","0","0","0","1","3","1","0","0","0","34","2","0","1","0","0","1","0","0","0","3","0","0","3","0","0","6","15","0","0","0","0","1","23","5","4","0","4","14","0","1","0","0","0","0","0","0","0","0","0","0","0","0","107","22","2","0","10","1","0","5","5","0","0","0","0","0","2","2","5","0","0","4","15","0","0","1","0","0","1","6","3","3","0","4","12","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2582","157","5","30","0","0","11","69","0","0","0","0","0","0","475","25","48","0","228","356","0","26","1","9","1","3","90","13","44","0","2","59","121","1","10","0","4","0","1","2","8","1","0","1","5","0","4","1","0","3","0","1","9","1","1","0","1","1","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","136","17"
"House District 11","3629","24","11","0","20","3","0","5","5","0","0","1","0","287","38","0","140","12","0","21","57","1","0","8","14","0","2","2","110","3","20","0","0","18","37","0","0","0","0","1","24","0","2","0","2","6","0","1","0","0","18","1","0","3","0","0","2","3","0","0","2","1","0","2","1","0","1","4","0","0","0","0","0","10","3","3","0","2","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","93","37","4","0","15","1","0","10","5","0","0","0","1","0","1","4","6","0","0","1","11","0","0","0","0","0","0","19","8","5","0","4","18","0","0","0","0","1","1","0","0","0","0","0","1","0","0","2925","178","11","34","0","0","27","66","0","2","0","0","0","0","575","25","37","0","224","314","0","23","1","7","2","7","126","29","46","0","0","80","160","0","13","1","1","2","2","1","15","1","0","0","1","1","3","0","2","7","1","0","4","4","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","81","9"
"House District 12","2750","15","19","0","42","5","0","7","10","0","0","0","0","237","35","1","153","1","0","24","39","0","0","10","10","0","1","2","91","4","68","0","1","9","35","0","0","0","0","1","8","0","1","0","3","6","0","0","1","0","21","5","0","1","0","0","1","2","0","0","4","0","0","5","0","0","2","3","0","0","0","0","0","11","4","2","0","2","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","91","33","4","0","9","0","0","10","8","0","0","0","1","1","1","1","12","0","0","0","8","0","0","1","0","0","0","9","5","11","0","2","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2505","149","15","98","0","0","16","61","0","1","1","0","0","0","557","31","55","0","221","372","0","30","2","4","0","9","101","22","35","0","0","55","134","0","8","0","0","2","6","3","20","3","0","2","1","0","3","0","3","8","0","0","5","2","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90","12"
"House District 13","2366","18","14","0","49","4","0","1","7","0","0","0","0","193","30","0","153","11","0","12","51","0","0","11","8","0","1","1","84","9","23","0","1","9","36","0","0","0","1","2","12","0","3","0","2","8","0","0","1","0","46","2","2","3","0","0","0","3","0","0","5","3","0","7","0","0","2","6","0","0","0","0","0","29","1","2","0","8","14","0","0","0","2","0","0","0","0","0","0","0","0","1","0","79","38","3","0","23","0","0","8","9","0","0","3","0","0","6","0","9","0","0","5","18","0","0","0","0","0","0","7","7","5","0","3","11","0","0","0","0","1","0","0","0","0","1","0","0","0","0","2115","115","6","64","0","0","26","49","0","0","0","1","0","1","477","24","50","0","234","338","1","33","2","7","1","6","87","14","28","0","1","61","152","0","7","0","2","1","2","2","14","1","1","0","1","0","6","0","0","8","0","0","10","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","5","0","0","0","0","0","0","0","1","3","94","9"
"House District 14","1771","9","8","0","29","1","1","1","2","0","0","1","0","176","25","0","97","7","1","10","32","0","1","2","7","0","0","0","78","2","10","0","0","10","45","0","0","1","0","0","11","0","1","0","0","4","0","0","0","1","31","4","0","1","0","0","0","3","0","0","5","0","0","4","0","0","3","9","0","0","0","0","1","35","0","6","1","8","12","0","1","1","1","0","0","0","0","0","0","0","0","0","0","90","34","2","0","12","0","0","3","15","0","0","0","0","0","7","4","10","0","0","4","12","0","0","0","0","0","1","13","3","4","0","2","4","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2652","113","12","35","0","0","13","68","0","0","0","1","0","0","568","23","31","0","228","375","3","25","0","12","0","8","103","16","37","0","0","64","134","0","11","0","2","1","4","3","12","2","1","0","2","0","14","3","1","1","0","1","11","3","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","125","15"
"House District 15","3250","26","19","0","26","5","0","3","6","0","0","0","0","256","32","1","137","7","0","30","62","1","0","7","7","0","2","1","130","2","20","0","1","15","58","0","0","0","0","0","18","0","3","0","3","9","1","0","0","1","33","3","0","0","0","0","1","1","0","0","3","1","0","1","0","0","1","5","0","0","0","0","0","11","0","1","0","4","5","0","0","0","0","0","0","1","0","0","0","0","0","0","0","85","38","5","0","17","0","0","11","14","0","0","2","0","0","3","0","6","0","0","1","10","0","0","0","0","0","1","19","5","19","1","6","16","0","0","0","0","0","0","0","1","0","1","0","0","0","0","2679","204","15","42","0","1","19","93","0","1","1","2","0","0","574","29","56","0","210","313","0","17","2","10","2","7","101","35","50","0","0","76","149","1","7","0","0","0","2","2","9","0","0","0","2","2","8","1","2","8","0","0","4","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","93","11"
